Fold 2 Ep   5/60 | loss=0.153 | bal_acc=0.8816 f1=0.8863 auc=0.9142
Fold 2 Ep   6/60 | loss=0.138 | bal_acc=0.8816 f1=0.8863 auc=0.9176
Fold 2 Ep   7/60 | loss=0.123 | bal_acc=0.8973 f1=0.8942 auc=0.9163
Fold 2 Ep   8/60 | loss=0.126 | bal_acc=0.8816 f1=0.8863 auc=0.9168
Fold 2 Ep   9/60 | loss=0.118 | bal_acc=0.8973 f1=0.8942 auc=0.9179
Fold 2 Ep  10/60 | loss=0.107 | bal_acc=0.8973 f1=0.8942 auc=0.9176
Fold 2 Ep  11/60 | loss=0.109 | bal_acc=0.8969 f1=0.8985 auc=0.9169
Fold 2 Ep  12/60 | loss=0.113 | bal_acc=0.8973 f1=0.8942 auc=0.9173
Fold 2 Ep  13/60 | loss=0.101 | bal_acc=0.8621 f1=0.8747 auc=0.9157
Fold 2 Ep  14/60 | loss=0.099 | bal_acc=0.8973 f1=0.8942 auc=0.9169
Fold 2 Ep  15/60 | loss=0.103 | bal_acc=0.8973 f1=0.8942 auc=0.9171
Fold 2 Ep  16/60 | loss=0.097 | bal_acc=0.8969 f1=0.8985 auc=0.9172
Fold 2 Ep  17/60 | loss=0.099 | bal_acc=0.8973 f1=0.8942 auc=0.9173
Fold 2 Ep  18/60 | loss=0.094 | bal_acc=0.8969 f1=0.8985 auc=0.9169
Fold 2 Ep  19/60 | loss=0.091 | bal_acc=0.8969 f1=0.8985 auc=0.9173
Fold 2 Ep  20/60 | loss=0.091 | bal_acc=0.8973 f1=0.8942 auc=0.9171
Fold 2 Ep  21/60 | loss=0.094 | bal_acc=0.8973 f1=0.8942 auc=0.9169
Fold 2 Ep  22/60 | loss=0.097 | bal_acc=0.8621 f1=0.8747 auc=0.9167
Fold 2 Ep  23/60 | loss=0.099 | bal_acc=0.8969 f1=0.8985 auc=0.9167
Fold 2 Ep  24/60 | loss=0.093 | bal_acc=0.8969 f1=0.8985 auc=0.9156
Fold 2 Ep  25/60 | loss=0.093 | bal_acc=0.8973 f1=0.8942 auc=0.9172
Fold 2 Ep  26/60 | loss=0.093 | bal_acc=0.8973 f1=0.8942 auc=0.9176
Fold 2 Ep  27/60 | loss=0.094 | bal_acc=0.8973 f1=0.8942 auc=0.9168
Fold 2 Ep  28/60 | loss=0.087 | bal_acc=0.8973 f1=0.8942 auc=0.9168
Fold 2 Ep  29/60 | loss=0.087 | bal_acc=0.8973 f1=0.8942 auc=0.9163
Fold 2 Ep  30/60 | loss=0.090 | bal_acc=0.8973 f1=0.8942 auc=0.9145
Fold 2 Ep  31/60 | loss=0.086 | bal_acc=0.8973 f1=0.8942 auc=0.9166
Fold 2 Ep  32/60 | loss=0.096 | bal_acc=0.8973 f1=0.8942 auc=0.9169
Fold 2 Ep  33/60 | loss=0.089 | bal_acc=0.8973 f1=0.8942 auc=0.9179
Fold 2 Ep  34/60 | loss=0.087 | bal_acc=0.8973 f1=0.8942 auc=0.9161
Fold 2 Ep  35/60 | loss=0.093 | bal_acc=0.8973 f1=0.8942 auc=0.9166
Fold 2 Ep  36/60 | loss=0.089 | bal_acc=0.8973 f1=0.8942 auc=0.9168
Fold 2 Ep  37/60 | loss=0.094 | bal_acc=0.8973 f1=0.8942 auc=0.9168
Fold 2 Ep  38/60 | loss=0.087 | bal_acc=0.8973 f1=0.8942 auc=0.9167
Fold 2 Ep  39/60 | loss=0.094 | bal_acc=0.8973 f1=0.8942 auc=0.9167
Fold 2 Ep  40/60 | loss=0.092 | bal_acc=0.8973 f1=0.8942 auc=0.9156
Fold 2 Ep  41/60 | loss=0.090 | bal_acc=0.8973 f1=0.8942 auc=0.9164
Fold 2 Ep  42/60 | loss=0.087 | bal_acc=0.8973 f1=0.8942 auc=0.9165
Fold 2 Ep  43/60 | loss=0.092 | bal_acc=0.8973 f1=0.8942 auc=0.9170
Fold 2 Ep  44/60 | loss=0.091 | bal_acc=0.8973 f1=0.8942 auc=0.9168
Fold 2 Ep  45/60 | loss=0.089 | bal_acc=0.8973 f1=0.8942 auc=0.9179
Fold 2 Ep  46/60 | loss=0.088 | bal_acc=0.8973 f1=0.8942 auc=0.9156
Fold 2 Ep  47/60 | loss=0.090 | bal_acc=0.8973 f1=0.8942 auc=0.9168
Fold 2 Ep  48/60 | loss=0.086 | bal_acc=0.8973 f1=0.8942 auc=0.9156
Fold 2 Ep  49/60 | loss=0.086 | bal_acc=0.8973 f1=0.8942 auc=0.9180
Fold 2 Ep  50/60 | loss=0.096 | bal_acc=0.8973 f1=0.8942 auc=0.9169
Fold 2 Ep  51/60 | loss=0.089 | bal_acc=0.8973 f1=0.8942 auc=0.9169
Fold 2 Ep  52/60 | loss=0.086 | bal_acc=0.8973 f1=0.8942 auc=0.9165
Fold 2 Ep  53/60 | loss=0.091 | bal_acc=0.8973 f1=0.8942 auc=0.9164
Fold 2 Ep  54/60 | loss=0.088 | bal_acc=0.8973 f1=0.8942 auc=0.9170
Fold 2 Ep  55/60 | loss=0.094 | bal_acc=0.8973 f1=0.8942 auc=0.9169
Fold 2 Ep  56/60 | loss=0.090 | bal_acc=0.8973 f1=0.8942 auc=0.9170
Fold 2 Ep  57/60 | loss=0.092 | bal_acc=0.8973 f1=0.8942 auc=0.9169
Fold 2 Ep  58/60 | loss=0.088 | bal_acc=0.8973 f1=0.8942 auc=0.9169
Fold 2 Ep  59/60 | loss=0.093 | bal_acc=0.8973 f1=0.8942 auc=0.9154
Fold 2 Ep  60/60 | loss=0.088 | bal_acc=0.8973 f1=0.8942 auc=0.9167
Fold 3 Ep   1/60 | loss=0.183 | bal_acc=0.7465 f1=0.7750 auc=0.9051
Fold 3 Ep   2/60 | loss=0.171 | bal_acc=0.8702 f1=0.8770 auc=0.9075
Fold 3 Ep   3/60 | loss=0.143 | bal_acc=0.8078 f1=0.8348 auc=0.9102
Fold 3 Ep   4/60 | loss=0.152 | bal_acc=0.8816 f1=0.8863 auc=0.9086
Fold 3 Ep   5/60 | loss=0.157 | bal_acc=0.8915 f1=0.8907 auc=0.9087
Fold 3 Ep   6/60 | loss=0.150 | bal_acc=0.8816 f1=0.8863 auc=0.9113
Fold 3 Ep   7/60 | loss=0.133 | bal_acc=0.8486 f1=0.8644 auc=0.9098
Fold 3 Ep   8/60 | loss=0.112 | bal_acc=0.8816 f1=0.8863 auc=0.9102
Fold 3 Ep   9/60 | loss=0.109 | bal_acc=0.8193 f1=0.8454 auc=0.9089
Fold 3 Ep  10/60 | loss=0.116 | bal_acc=0.8915 f1=0.8907 auc=0.9109
Fold 3 Ep  11/60 | loss=0.102 | bal_acc=0.8915 f1=0.8907 auc=0.9088
Fold 3 Ep  12/60 | loss=0.097 | bal_acc=0.8816 f1=0.8863 auc=0.9113
Fold 3 Ep  13/60 | loss=0.098 | bal_acc=0.8915 f1=0.8907 auc=0.9115
Fold 3 Ep  14/60 | loss=0.104 | bal_acc=0.8915 f1=0.8907 auc=0.9135
Fold 3 Ep  15/60 | loss=0.096 | bal_acc=0.8915 f1=0.8907 auc=0.9113
Fold 3 Ep  16/60 | loss=0.096 | bal_acc=0.8915 f1=0.8907 auc=0.9113
Fold 3 Ep  17/60 | loss=0.100 | bal_acc=0.8915 f1=0.8907 auc=0.9112
Fold 3 Ep  18/60 | loss=0.089 | bal_acc=0.8915 f1=0.8907 auc=0.9112
Fold 3 Ep  19/60 | loss=0.091 | bal_acc=0.8915 f1=0.8907 auc=0.9091
Fold 3 Ep  20/60 | loss=0.093 | bal_acc=0.8915 f1=0.8907 auc=0.9112
Fold 3 Ep  21/60 | loss=0.098 | bal_acc=0.8915 f1=0.8907 auc=0.9107
Fold 3 Ep  22/60 | loss=0.085 | bal_acc=0.8834 f1=0.8889 auc=0.9106
Fold 3 Ep  23/60 | loss=0.090 | bal_acc=0.8915 f1=0.8907 auc=0.9107
Fold 3 Ep  24/60 | loss=0.085 | bal_acc=0.8915 f1=0.8907 auc=0.9109
Fold 3 Ep  25/60 | loss=0.094 | bal_acc=0.8915 f1=0.8907 auc=0.9085
Fold 3 Ep  26/60 | loss=0.093 | bal_acc=0.8915 f1=0.8907 auc=0.9088
Fold 3 Ep  27/60 | loss=0.092 | bal_acc=0.8915 f1=0.8907 auc=0.9108
Fold 3 Ep  28/60 | loss=0.091 | bal_acc=0.8915 f1=0.8907 auc=0.9127
Fold 3 Ep  29/60 | loss=0.093 | bal_acc=0.8915 f1=0.8907 auc=0.9106
Fold 3 Ep  30/60 | loss=0.092 | bal_acc=0.8915 f1=0.8907 auc=0.9106
Fold 3 Ep  31/60 | loss=0.096 | bal_acc=0.8915 f1=0.8907 auc=0.9106
Fold 3 Ep  32/60 | loss=0.089 | bal_acc=0.8915 f1=0.8907 auc=0.9104
Fold 3 Ep  33/60 | loss=0.093 | bal_acc=0.8834 f1=0.8889 auc=0.9107
Fold 3 Ep  34/60 | loss=0.093 | bal_acc=0.8915 f1=0.8907 auc=0.9107
Fold 3 Ep  35/60 | loss=0.091 | bal_acc=0.8915 f1=0.8907 auc=0.9105
Fold 3 Ep  36/60 | loss=0.090 | bal_acc=0.8915 f1=0.8907 auc=0.9127
Fold 3 Ep  37/60 | loss=0.090 | bal_acc=0.8915 f1=0.8907 auc=0.9104
Fold 3 Ep  38/60 | loss=0.091 | bal_acc=0.8915 f1=0.8907 auc=0.9082
Fold 3 Ep  39/60 | loss=0.089 | bal_acc=0.8915 f1=0.8907 auc=0.9104
Fold 3 Ep  40/60 | loss=0.090 | bal_acc=0.8915 f1=0.8907 auc=0.9124
Fold 3 Ep  41/60 | loss=0.090 | bal_acc=0.8915 f1=0.8907 auc=0.9105
Fold 3 Ep  42/60 | loss=0.092 | bal_acc=0.8915 f1=0.8907 auc=0.9106
Fold 3 Ep  43/60 | loss=0.092 | bal_acc=0.8915 f1=0.8907 auc=0.9105
Fold 3 Ep  44/60 | loss=0.093 | bal_acc=0.8834 f1=0.8889 auc=0.9087
Fold 3 Ep  45/60 | loss=0.090 | bal_acc=0.8915 f1=0.8907 auc=0.9108
Fold 3 Ep  46/60 | loss=0.094 | bal_acc=0.8915 f1=0.8907 auc=0.9106
Fold 3 Ep  47/60 | loss=0.092 | bal_acc=0.8915 f1=0.8907 auc=0.9107
Fold 3 Ep  48/60 | loss=0.091 | bal_acc=0.8915 f1=0.8907 auc=0.9106
Fold 3 Ep  49/60 | loss=0.092 | bal_acc=0.8915 f1=0.8907 auc=0.9108
Fold 3 Ep  50/60 | loss=0.092 | bal_acc=0.8915 f1=0.8907 auc=0.9108
Fold 3 Ep  51/60 | loss=0.089 | bal_acc=0.8915 f1=0.8907 auc=0.9087
Fold 3 Ep  52/60 | loss=0.099 | bal_acc=0.8915 f1=0.8907 auc=0.9129
Fold 3 Ep  53/60 | loss=0.090 | bal_acc=0.8915 f1=0.8907 auc=0.9087
Fold 3 Ep  54/60 | loss=0.092 | bal_acc=0.8915 f1=0.8907 auc=0.9086
Fold 3 Ep  55/60 | loss=0.091 | bal_acc=0.8915 f1=0.8907 auc=0.9107
Fold 3 Ep  56/60 | loss=0.093 | bal_acc=0.8915 f1=0.8907 auc=0.9107
Fold 3 Ep  57/60 | loss=0.091 | bal_acc=0.8915 f1=0.8907 auc=0.9105
Fold 3 Ep  58/60 | loss=0.088 | bal_acc=0.8915 f1=0.8907 auc=0.9086
Fold 3 Ep  59/60 | loss=0.092 | bal_acc=0.8915 f1=0.8907 auc=0.9086
Fold 3 Ep  60/60 | loss=0.096 | bal_acc=0.8915 f1=0.8907 auc=0.9107
Fold 4 Ep   1/60 | loss=0.183 | bal_acc=0.8175 f1=0.8428 auc=0.9099
Fold 4 Ep   2/60 | loss=0.156 | bal_acc=0.8289 f1=0.8533 auc=0.9105
Fold 4 Ep   3/60 | loss=0.145 | bal_acc=0.7887 f1=0.8165 auc=0.9115
Fold 4 Ep   4/60 | loss=0.178 | bal_acc=0.8670 f1=0.8678 auc=0.9113
Fold 4 Ep   5/60 | loss=0.176 | bal_acc=0.8289 f1=0.8533 auc=0.9147
Fold 4 Ep   6/60 | loss=0.167 | bal_acc=0.8769 f1=0.8724 auc=0.9151
Fold 4 Ep   7/60 | loss=0.147 | bal_acc=0.8670 f1=0.8678 auc=0.9122
Fold 4 Ep   8/60 | loss=0.132 | bal_acc=0.8670 f1=0.8678 auc=0.9131
Fold 4 Ep   9/60 | loss=0.130 | bal_acc=0.8769 f1=0.8724 auc=0.9111
Fold 4 Ep  10/60 | loss=0.123 | bal_acc=0.8670 f1=0.8678 auc=0.9108
Fold 4 Ep  11/60 | loss=0.117 | bal_acc=0.8769 f1=0.8724 auc=0.9125
Fold 4 Ep  12/60 | loss=0.114 | bal_acc=0.8769 f1=0.8724 auc=0.9127
Fold 4 Ep  13/60 | loss=0.100 | bal_acc=0.8444 f1=0.8650 auc=0.9130
Fold 4 Ep  14/60 | loss=0.110 | bal_acc=0.8722 f1=0.8775 auc=0.9128
Fold 4 Ep  15/60 | loss=0.099 | bal_acc=0.8769 f1=0.8724 auc=0.9130
Fold 4 Ep  16/60 | loss=0.096 | bal_acc=0.8884 f1=0.8814 auc=0.9108
Fold 4 Ep  17/60 | loss=0.095 | bal_acc=0.8884 f1=0.8814 auc=0.9129
Fold 4 Ep  18/60 | loss=0.098 | bal_acc=0.8769 f1=0.8724 auc=0.9108
Fold 4 Ep  19/60 | loss=0.091 | bal_acc=0.8769 f1=0.8724 auc=0.9129
Fold 4 Ep  20/60 | loss=0.088 | bal_acc=0.8769 f1=0.8724 auc=0.9144
Fold 4 Ep  21/60 | loss=0.095 | bal_acc=0.8884 f1=0.8814 auc=0.9116
Fold 4 Ep  22/60 | loss=0.093 | bal_acc=0.8884 f1=0.8814 auc=0.9115
Fold 4 Ep  23/60 | loss=0.091 | bal_acc=0.8884 f1=0.8814 auc=0.9137
Fold 4 Ep  24/60 | loss=0.084 | bal_acc=0.8769 f1=0.8724 auc=0.9137
Fold 4 Ep  25/60 | loss=0.093 | bal_acc=0.8884 f1=0.8814 auc=0.9115
Fold 4 Ep  26/60 | loss=0.091 | bal_acc=0.8884 f1=0.8814 auc=0.9143
Fold 4 Ep  27/60 | loss=0.098 | bal_acc=0.8769 f1=0.8724 auc=0.9138
Fold 4 Ep  28/60 | loss=0.093 | bal_acc=0.8884 f1=0.8814 auc=0.9135
Fold 4 Ep  29/60 | loss=0.096 | bal_acc=0.8884 f1=0.8814 auc=0.9157
Fold 4 Ep  30/60 | loss=0.094 | bal_acc=0.8884 f1=0.8814 auc=0.9145
Fold 4 Ep  31/60 | loss=0.090 | bal_acc=0.8884 f1=0.8814 auc=0.9145
Fold 4 Ep  32/60 | loss=0.094 | bal_acc=0.8884 f1=0.8814 auc=0.9146
Fold 4 Ep  33/60 | loss=0.092 | bal_acc=0.8884 f1=0.8814 auc=0.9149
Fold 4 Ep  34/60 | loss=0.088 | bal_acc=0.8884 f1=0.8814 auc=0.9166
Fold 4 Ep  35/60 | loss=0.084 | bal_acc=0.8884 f1=0.8814 auc=0.9150
Fold 4 Ep  36/60 | loss=0.090 | bal_acc=0.8884 f1=0.8814 auc=0.9149
Fold 4 Ep  37/60 | loss=0.092 | bal_acc=0.8884 f1=0.8814 auc=0.9147
Fold 4 Ep  38/60 | loss=0.089 | bal_acc=0.8884 f1=0.8814 auc=0.9149
Fold 4 Ep  39/60 | loss=0.086 | bal_acc=0.8884 f1=0.8814 auc=0.9145
Fold 4 Ep  40/60 | loss=0.089 | bal_acc=0.8884 f1=0.8814 auc=0.9147
Fold 4 Ep  41/60 | loss=0.085 | bal_acc=0.8884 f1=0.8814 auc=0.9147
Fold 4 Ep  42/60 | loss=0.090 | bal_acc=0.8884 f1=0.8814 auc=0.9140
Fold 4 Ep  43/60 | loss=0.093 | bal_acc=0.8884 f1=0.8814 auc=0.9138
Fold 4 Ep  44/60 | loss=0.086 | bal_acc=0.8884 f1=0.8814 auc=0.9139
Fold 4 Ep  45/60 | loss=0.086 | bal_acc=0.8884 f1=0.8814 auc=0.9139
Fold 4 Ep  46/60 | loss=0.088 | bal_acc=0.8884 f1=0.8814 auc=0.9139
Fold 4 Ep  47/60 | loss=0.089 | bal_acc=0.8884 f1=0.8814 auc=0.9146
